w1	w2	grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
0	2	2	7	4	229632	1771008	0.356	161.429
0	2	2	8	4	147840	652288	0.123	164.467
0	2	2	9	4	87552	340480	0.063	123.336
0	2	3	0	4	234624	1481600	0.294	105.379
0	2	3	1	4	139008	354304	0.066	90.340
0	2	3	2	4	136448	209920	0.041	114.450
0	2	3	3	4	135552	475136	0.091	106.423
0	2	3	4	4	199680	620544	0.121	134.351
0	2	3	5	4	202496	1293824	0.248	165.887
0	2	3	6	4	158208	634368	0.119	136.208
0	2	3	7	4	112128	478208	0.084	153.459
0	2	3	8	4	126336	390144	0.081	105.957
0	2	3	9	4	108032	147968	0.029	86.710
0	2	4	0	4	196992	623104	0.129	94.975
0	2	4	1	4	148608	787456	0.153	120.821
0	2	4	2	4	196480	684032	0.131	126.688
0	2	4	3	4	194432	604160	0.128	139.462
0	2	4	4	4	186624	885248	0.166	166.501
0	2	4	5	4	172544	625152	0.126	135.804
0	2	4	6	4	203648	900096	0.209	130.977
0	2	4	7	4	169472	666624	0.153	156.752
0	2	4	8	4	110464	363520	0.073	94.782
0	2	4	9	4	183424	497152	0.119	72.309
1	0	0	0	4	127616	2304512	0.415	128.758
1	0	0	1	4	83584	1923584	0.337	122.466
1	0	0	2	4	113280	836096	0.153	70.774
1	0	0	3	4	92544	1601024	0.288	132.996
1	0	0	4	4	92544	1958400	0.341	121.100
1	0	0	5	4	86144	972800	0.171	94.562
1	0	0	6	4	94720	1982976	0.399	123.858
1	0	0	7	4	109568	2074624	0.391	128.823
1	0	0	8	4	60928	879104	0.149	95.070
1	0	0	9	4	92672	2018304	0.339	125.166
1	0	1	0	4	82048	787968	0.144	77.974
1	0	1	1	4	77440	834560	0.183	86.792
1	0	1	2	4	116992	1661952	0.306	104.713
1	0	1	3	4	126080	2612736	0.487	130.937
1	0	1	4	4	106752	2511360	0.433	148.744
1	0	1	5	4	91264	896000	0.152	90.011
1	0	1	6	4	124800	2672640	0.475	144.866
1	0	1	7	4	118656	2050048	0.401	112.649
1	0	1	8	4	116224	1501184	0.324	93.888
1	0	1	9	4	102272	1289728	0.236	86.366
1	0	2	0	4	79360	1048064	0.171	114.376
1	0	2	1	4	82816	1319936	0.221	124.011
1	0	2	2	4	73216	1412096	0.239	133.775
1	0	2	3	4	94720	2485248	0.436	153.049
1	0	2	4	4	86144	731136	0.158	75.994
1	0	2	5	4	138112	2395648	0.462	116.574
1	0	2	6	4	90368	1760768	0.319	140.127
1	0	2	7	4	101632	2306560	0.404	134.614
1	0	2	8	4	99072	1225216	0.210	102.039
1	0	2	9	4	74880	437248	0.087	70.528
1	0	3	0	4	103040	1925120	0.356	104.376
1	0	3	1	4	76288	1349120	0.243	90.167
1	0	3	2	4	112896	1180160	0.205	86.314
1	0	3	3	4	78208	1132032	0.219	78.488
1	0	3	4	4	99712	1549312	0.293	94.767
1	0	3	5	4	112768	1579008	0.280	93.172
1	0	3	6	4	92672	1428992	0.252	101.255
1	0	3	7	4	124416	2324992	0.457	126.844
1	0	3	8	4	78720	1166336	0.215	81.925
1	0	3	9	4	75008	1148928	0.213	86.546
1	0	4	0	4	108416	1536000	0.312	90.468
1	0	4	1	4	64768	1243136	0.213	110.372
1	0	4	2	4	106240	1173504	0.203	88.928
1	0	4	3	4	94208	2179072	0.414	122.614
1	0	4	4	4	103168	2132992	0.405	120.718
1	0	4	5	4	68480	1684992	0.298	132.181
1	0	4	6	4	87808	2126336	0.384	129.250
1	0	4	7	4	78080	1825280	0.325	126.425
1	0	4	8	4	91136	888832	0.153	70.340
1	0	4	9	4	96768	872960	0.167	63.340
1	1	0	0	4	199808	2250112	0.435	157.696
1	1	0	1	4	83584	1923584	0.367	122.466
1	1	0	2	4	113280	836096	0.165	70.774
1	1	0	3	4	187136	1558912	0.319	180.343
1	1	0	4	4	92544	1958400	0.355	121.100
1	1	0	5	4	86144	972800	0.169	94.562
1	1	0	6	4	94720	1982976	0.344	123.858
1	1	0	7	4	109568	2074624	0.402	128.823
1	1	0	8	4	60928	879104	0.178	95.070
1	1	0	9	4	92672	2018304	0.355	125.166
1	1	1	0	4	82048	787968	0.136	77.974
1	1	1	1	4	77440	834560	0.140	86.792
1	1	1	2	4	116992	1661952	0.295	104.713
1	1	1	3	4	151040	2623488	0.457	130.937
1	1	1	4	4	134784	2524160	0.449	148.744
1	1	1	5	4	91264	896000	0.152	90.011
1	1	1	6	4	160512	2694656	0.481	144.866
1	1	1	7	4	118656	2050048	0.363	112.649
1	1	1	8	4	116224	1501184	0.272	93.888
1	1	1	9	4	102272	1289728	0.228	86.366
1	1	2	0	4	79360	1048064	0.176	114.376
1	1	2	1	4	82816	1319936	0.236	124.011
1	1	2	2	4	73216	1412096	0.238	133.775
1	1	2	3	4	178688	2537344	0.493	179.560
1	1	2	4	4	86144	731136	0.128	75.994
1	1	2	5	4	186752	1778560	0.338	136.369
1	1	2	6	4	90368	1760768	0.319	140.127
1	1	2	7	4	101632	2306560	0.400	134.614
1	1	2	8	4	99072	1225216	0.209	102.039
1	1	2	9	4	74880	437248	0.080	70.528
1	1	3	0	4	103040	1925120	0.354	104.376
1	1	3	1	4	76288	1349120	0.254	90.167
1	1	3	2	4	112896	1180160	0.240	86.314
1	1	3	3	4	78208	1132032	0.203	78.488
1	1	3	4	4	99712	1549312	0.275	94.767
1	1	3	5	4	112768	1579008	0.276	93.172
1	1	3	6	4	150656	1473536	0.254	101.255
1	1	3	7	4	167168	1872768	0.395	146.823
1	1	3	8	4	78720	1166336	0.207	81.925
1	1	3	9	4	75008	1148928	0.201	86.546
1	1	4	0	4	108416	1536000	0.305	90.468
1	1	4	1	4	103808	1190784	0.203	118.857
1	1	4	2	4	106240	1173504	0.208	88.928
1	1	4	3	4	94208	2179072	0.378	122.614
1	1	4	4	4	103168	2132992	0.372	120.718
1	1	4	5	4	68480	1684992	0.279	132.181
1	1	4	6	4	134528	1866624	0.320	136.848
1	1	4	7	4	78080	1825280	0.313	126.425
1	1	4	8	4	120576	786816	0.148	94.782
1	1	4	9	4	96768	872960	0.158	63.340
1	2	0	0	4	124544	419200	0.078	157.696
1	2	0	1	4	99968	289152	0.068	171.129
1	2	0	2	4	127488	229248	0.053	130.711
1	2	0	3	4	139648	530816	0.111	180.343
1	2	0	4	4	99200	279424	0.047	171.724
1	2	0	5	4	91648	193920	0.034	129.610
1	2	0	6	4	111360	203648	0.039	173.134
1	2	0	7	4	176640	617344	0.142	188.618
1	2	0	8	4	70272	89472	0.017	100.310
1	2	0	9	4	115328	235392	0.042	169.852
1	2	1	0	4	110464	171392	0.043	135.135
1	2	1	1	4	69376	174976	0.033	114.283
1	2	1	2	4	134656	435072	0.081	148.819
1	2	1	3	4	170112	529280	0.113	156.236
1	2	1	4	4	105088	310656	0.053	174.788
1	2	1	5	4	61312	109952	0.026	123.459
1	2	1	6	4	158208	419712	0.082	180.955
1	2	1	7	4	203392	600960	0.117	174.999
1	2	1	8	4	87040	128896	0.023	113.350
1	2	1	9	4	85632	187264	0.033	124.190
1	2	2	0	4	86528	342912	0.067	170.165
1	2	2	1	4	94592	368000	0.064	174.076
1	2	2	2	4	77440	179584	0.031	172.261
1	2	2	3	4	160000	482176	0.105	179.560
1	2	2	4	4	110720	116608	0.024	143.060
1	2	2	5	4	107648	151936	0.031	136.369
1	2	2	6	4	86144	205184	0.034	184.045
1	2	2	7	4	88192	265088	0.053	165.361
1	2	2	8	4	93440	205696	0.043	171.141
1	2	2	9	4	77440	158592	0.029	136.085
1	2	3	0	4	152192	564096	0.133	156.829
1	2	3	1	4	118400	418176	0.075	96.567
1	2	3	2	4	112128	176000	0.033	134.234
1	2	3	3	4	88448	272256	0.049	80.274
1	2	3	4	4	137344	220544	0.041	166.054
1	2	3	5	4	172416	673152	0.121	159.667
1	2	3	6	4	111488	213376	0.043	136.350
1	2	3	7	4	68864	83328	0.015	146.823
1	2	3	8	4	91392	236416	0.041	87.802
1	2	3	9	4	81920	131456	0.025	112.972
