grid#	st#	step	ml_c	gt_c	dist	p(gt)
0	1	14	(78, 58)	(78, 58)	0.000	0.571
0	1	15	(78, 59)	(78, 59)	0.000	0.797
0	1	16	(78, 60)	(78, 60)	0.000	0.840
0	1	17	(78, 61)	(78, 61)	0.000	0.835
0	1	18	(78, 62)	(78, 62)	0.000	0.767
0	1	19	(79, 61)	(79, 62)	1.000	0.170
0	1	20	(80, 62)	(80, 62)	0.000	0.521
0	1	21	(80, 63)	(80, 63)	0.000	0.571
0	1	22	(80, 64)	(80, 64)	0.000	0.528
0	1	23	(80, 64)	(80, 65)	1.000	0.059
0	1	24	(80, 65)	(80, 65)	0.000	0.961
0	1	25	(80, 65)	(80, 65)	0.000	0.996
0	1	26	(80, 65)	(80, 65)	0.000	0.991
0	1	27	(80, 65)	(80, 65)	0.000	0.996
0	1	28	(80, 65)	(80, 65)	0.000	0.983
0	1	29	(80, 65)	(80, 65)	0.000	0.998
0	1	30	(80, 65)	(80, 65)	0.000	0.999
0	1	31	(80, 65)	(80, 65)	0.000	1.000
0	1	32	(80, 64)	(80, 64)	0.000	0.899
0	1	33	(81, 64)	(81, 64)	0.000	0.894
0	1	34	(81, 63)	(81, 63)	0.000	0.805
0	1	35	(82, 63)	(82, 63)	0.000	0.979
0	1	36	(82, 63)	(82, 63)	0.000	0.639
0	1	37	(83, 63)	(83, 63)	0.000	0.961
0	1	38	(83, 62)	(83, 62)	0.000	0.898
0	1	39	(84, 62)	(84, 62)	0.000	0.894
0	1	40	(84, 62)	(84, 62)	0.000	0.765
0	1	41	(83, 62)	(83, 62)	0.000	0.906
0	1	42	(83, 62)	(83, 61)	1.000	0.232
0	1	43	(83, 62)	(82, 61)	1.414	0.091
0	1	44	(82, 60)	(82, 60)	0.000	0.519
0	1	45	(81, 60)	(81, 60)	0.000	0.443
0	1	46	(81, 59)	(81, 59)	0.000	0.908
0	1	47	(82, 59)	(82, 59)	0.000	0.974
0	1	48	(82, 60)	(82, 60)	0.000	0.983
0	1	49	(81, 60)	(81, 60)	0.000	0.898
0	1	50	(81, 59)	(81, 59)	0.000	0.987
0	1	51	(81, 58)	(81, 58)	0.000	0.992
0	1	52	(82, 58)	(82, 58)	0.000	0.992
0	1	53	(82, 59)	(82, 59)	0.000	0.993
0	1	54	(83, 59)	(83, 59)	0.000	0.892
0	1	55	(84, 59)	(84, 59)	0.000	0.986
0	1	56	(84, 58)	(84, 58)	0.000	0.992
0	1	57	(83, 58)	(83, 58)	0.000	0.987
0	1	58	(82, 58)	(82, 58)	0.000	0.894
0	1	59	(82, 58)	(82, 58)	0.000	0.768
0	1	60	(82, 57)	(82, 57)	0.000	0.749
0	1	61	(82, 56)	(82, 56)	0.000	0.799
0	1	62	(82, 55)	(82, 55)	0.000	0.747
0	1	63	(82, 55)	(82, 55)	0.000	0.756
0	1	64	(82, 56)	(82, 56)	0.000	0.693
0	1	65	(81, 56)	(81, 56)	0.000	0.968
0	1	66	(81, 55)	(81, 55)	0.000	0.961
0	1	67	(80, 55)	(80, 55)	0.000	0.879
0	1	68	(80, 54)	(80, 55)	1.000	0.088
0	1	69	(79, 55)	(79, 55)	0.000	0.604
0	1	70	(79, 54)	(79, 54)	0.000	0.672
0	1	71	(79, 53)	(79, 53)	0.000	0.880
0	1	72	(79, 52)	(79, 52)	0.000	0.963
0	1	73	(79, 51)	(79, 51)	0.000	0.889
0	1	74	(78, 51)	(78, 51)	0.000	0.883
0	1	75	(78, 52)	(78, 52)	0.000	0.974
0	1	76	(79, 52)	(79, 52)	0.000	0.973
0	1	77	(79, 53)	(79, 53)	0.000	0.991
0	1	78	(78, 53)	(78, 53)	0.000	0.992
0	1	79	(78, 53)	(78, 53)	0.000	0.999
0	1	80	(77, 53)	(77, 53)	0.000	0.900
0	1	81	(77, 52)	(77, 52)	0.000	0.987
0	1	82	(77, 51)	(77, 51)	0.000	0.895
0	1	83	(76, 51)	(76, 51)	0.000	0.805
0	1	84	(76, 50)	(76, 50)	0.000	0.888
0	1	85	(77, 50)	(77, 50)	0.000	0.894
0	1	86	(77, 50)	(77, 50)	0.000	0.758
0	1	87	(78, 50)	(78, 50)	0.000	0.797
0	1	88	(79, 50)	(79, 50)	0.000	0.884
0	1	89	(79, 50)	(79, 50)	0.000	0.886
0	1	90	(80, 50)	(80, 50)	0.000	0.686
0	1	91	(80, 51)	(80, 51)	0.000	0.637
0	1	92	(79, 51)	(79, 51)	0.000	0.521
0	1	93	(78, 51)	(78, 51)	0.000	0.757
0	1	94	(78, 52)	(78, 52)	0.000	0.970
0	1	95	(77, 52)	(77, 52)	0.000	0.749
0	1	96	(76, 52)	(76, 52)	0.000	0.768
