grid#	st/gl#	heur	m_f(B)	exp	time(s)	dist
1	8	5	54528	231680	0.033	105.386
1	9	1	55168	1185280	0.167	86.357
1	9	2	46976	141824	0.021	119.710
1	9	3	51968	1338368	0.183	86.357
1	9	4	26368	12800	0.003	133.761
1	9	5	63744	195584	0.033	103.137
2	0	1	60032	1072000	0.176	114.376
2	0	2	45568	34432	0.006	150.551
2	0	3	42624	1271040	0.176	114.376
2	0	4	41344	16256	0.004	156.421
2	0	5	81152	420608	0.062	115.481
2	1	1	52096	1230720	0.179	123.358
2	1	2	63488	124928	0.020	153.344
2	1	3	40704	1394176	0.194	123.358
2	1	4	39168	17408	0.005	164.155
2	1	5	100352	549248	0.082	125.746
2	2	1	57856	1294208	0.186	133.767
2	2	2	64640	71424	0.012	179.160
2	2	3	51584	1502720	0.212	133.767
2	2	4	44672	19968	0.004	194.723
2	2	5	60672	607872	0.094	163.820
2	3	1	54144	1974272	0.277	152.546
2	3	2	63744	475520	0.073	172.820
2	3	3	45056	1997952	0.283	152.546
2	3	4	37504	18048	0.004	197.560
2	3	5	93056	1077632	0.165	163.474
2	4	1	59392	815616	0.121	75.985
2	4	2	49408	40192	0.007	132.614
2	4	3	62464	1095168	0.160	75.985
2	4	4	33280	14336	0.003	161.230
2	4	5	94592	216192	0.035	89.129
2	5	1	75904	1902208	0.284	116.574
2	5	2	48128	23168	0.005	149.269
2	5	3	68352	1958016	0.279	116.574
2	5	4	35968	13568	0.003	177.200
2	5	5	95616	600320	0.104	116.619
2	6	1	63104	1586560	0.225	140.119
2	6	2	86784	176384	0.027	187.195
2	6	3	51328	1749504	0.239	140.119
2	6	4	48000	20352	0.004	219.344
2	6	5	86912	620160	0.089	143.648
2	7	1	53504	1888896	0.262	134.111
2	7	2	85248	402688	0.069	161.429
2	7	3	45696	1958016	0.304	134.111
2	7	4	36480	18816	0.006	228.245
2	7	5	116224	884736	0.143	148.313
2	8	1	58240	1194240	0.192	102.021
2	8	2	50304	64256	0.011	164.467
2	8	3	45440	1389312	0.195	102.021
2	8	4	42368	17664	0.004	192.574
2	8	5	93568	334208	0.049	125.629
2	9	1	58624	472064	0.067	70.520
2	9	2	35200	30080	0.005	123.336
2	9	3	55808	685184	0.097	70.520
2	9	4	32768	13696	0.004	131.035
2	9	5	72704	184960	0.028	92.241
3	0	1	61696	1628160	0.237	101.741
3	0	2	113280	267264	0.049	153.546
3	0	3	55552	1851776	0.258	101.741
3	0	4	39680	17792	0.004	203.328
3	0	5	84608	350208	0.056	105.379
3	1	1	42624	1138816	0.161	90.158
3	1	2	41984	49280	0.008	90.340
3	1	3	44032	1265664	0.179	90.158
3	1	4	30720	15232	0.003	133.829
